Date,Open,High,Low,Close,Adj Close,Volume
2022-01-12,544.270020,544.270020,532.020020,537.219971,537.219971,3787400
2022-01-13,537.059998,540.789978,518.260010,519.200012,519.200012,4475100
2022-01-14,517.599976,538.369995,511.880005,525.690002,525.690002,7861100
2022-01-18,520.080017,521.750000,508.679993,510.799988,510.799988,4839100
2022-01-19,515.000000,523.210022,510.510010,515.859985,515.859985,4353500
2022-01-20,517.750000,526.640015,506.929993,508.250000,508.250000,12659000
2022-01-21,400.429993,409.149994,379.989990,397.500000,397.500000,58904300
2022-01-24,383.910004,387.260010,351.459991,387.149994,387.149994,32346000
2022-01-25,379.140015,387.709991,365.130005,366.420013,366.420013,15145800
2022-01-26,378.269989,382.660004,356.619995,359.700012,359.700012,12684000
2022-01-27,382.059998,394.799988,378.100006,386.700012,386.700012,24324700
2022-01-28,386.760010,387.000000,372.079987,384.359985,384.359985,11966600
2022-01-31,401.970001,427.700012,398.200012,427.140015,427.140015,20047500
2022-02-01,432.959991,458.480011,425.540009,457.130005,457.130005,22568100
2022-02-02,448.250000,451.980011,426.480011,429.480011,429.480011,14346000
2022-02-03,421.440002,429.260010,404.279999,405.600006,405.600006,9905200
2022-02-04,407.309998,412.769989,396.640015,410.170013,410.170013,7789800
2022-02-07,410.170013,412.350006,393.549988,402.100006,402.100006,8232900
2022-02-08,398.179993,406.609985,395.829987,403.529999,403.529999,6818500
2022-02-09,408.649994,412.980011,398.790009,412.890015,412.890015,7738200
2022-02-10,402.100006,408.000000,396.359985,406.269989,406.269989,8452900
2022-02-11,405.329987,411.609985,387.649994,391.309998,391.309998,7558900
2022-02-14,387.589996,409.359985,386.890015,396.570007,396.570007,7202200
2022-02-15,403.790009,409.160004,401.010010,407.459991,407.459991,5392300
2022-02-16,401.529999,401.559998,390.380005,398.079987,398.079987,5277700
2022-02-17,394.239990,399.109985,385.700012,386.670013,386.670013,4669200
2022-02-18,392.529999,402.869995,389.049988,391.290009,391.290009,6801700
2022-02-22,388.950012,392.420013,373.019989,377.380005,377.380005,6697500
2022-02-23,382.720001,386.000000,366.660004,367.459991,367.459991,4614300
2022-02-24,355.089996,390.730011,354.720001,390.029999,390.029999,7068700
2022-02-25,386.609985,391.290009,375.579987,390.799988,390.799988,4841600
2022-02-28,387.329987,397.750000,382.130005,394.519989,394.519989,5035000
2022-03-01,391.600006,395.000000,383.709991,386.239990,386.239990,3290400
2022-03-02,388.929993,389.220001,375.209991,380.029999,380.029999,5356800
2022-03-03,386.000000,386.119995,364.649994,368.070007,368.070007,6076800
2022-03-04,368.000000,374.820007,357.170013,361.730011,361.730011,5325500
2022-03-07,360.410004,362.000000,350.200012,350.260010,350.260010,5708400
2022-03-08,349.799988,358.859985,340.670013,341.760010,341.760010,6428700
2022-03-09,357.690002,364.140015,350.510010,358.790009,358.790009,6520200
2022-03-10,356.200012,367.019989,353.299988,356.769989,356.769989,4807800
2022-03-11,361.190002,363.359985,340.000000,340.320007,340.320007,4819900
2022-03-14,338.720001,341.320007,329.820007,331.010010,331.010010,5907800
2022-03-15,335.100006,345.359985,332.359985,343.750000,343.750000,5460600
2022-03-16,348.200012,359.989990,343.059998,357.529999,357.529999,6982500
2022-03-17,359.700012,373.309998,354.880005,371.399994,371.399994,5818300
2022-03-18,372.000000,381.799988,368.470001,380.600006,380.600006,8324800
2022-03-21,378.019989,381.820007,368.940002,374.589996,374.589996,4866500
2022-03-22,371.140015,386.660004,366.760010,382.920013,382.920013,4242800
2022-03-23,379.769989,382.459991,374.489990,374.489990,374.489990,3729000
2022-03-24,379.760010,379.760010,368.899994,375.709991,375.709991,3888500
2022-03-25,377.070007,377.640015,366.429993,373.850006,373.850006,3574500
2022-03-28,375.230011,380.279999,366.730011,378.510010,378.510010,4323400
2022-03-29,384.390015,396.500000,380.329987,391.820007,391.820007,5880700
2022-03-30,389.549988,392.700012,378.630005,381.470001,381.470001,4023300
2022-03-31,383.589996,384.000000,373.609985,374.589996,374.589996,4134700
2022-04-01,376.799988,380.869995,368.500000,373.470001,373.470001,4644200
2022-04-04,373.549988,396.019989,373.130005,391.500000,391.500000,7001800
2022-04-05,389.299988,390.000000,377.309998,380.149994,380.149994,4234500
2022-04-06,374.149994,376.470001,362.730011,368.350006,368.350006,4354900
2022-04-07,365.000000,368.540009,353.690002,362.149994,362.149994,4948900
2022-04-08,361.959991,362.500000,354.869995,355.880005,355.880005,4025200
